session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Fluent languages,Nationality,Sex,Student Status
62b2ac0f6d3d94d7a6ec90b2,5d13739ce001640015f40d7f,RETURNED,2022-06-22 05:43:46.222000,,591408.787794,25,133,3,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62b2ac1a0ba45d0a68a2d2e8,610705107cb0493ef0a8985e,APPROVED,2022-06-22 05:43:57.454000,2022-06-22 06:07:59.615000,1442.161,25,104,1,99,2022-06-23 00:35:54.205000,8F964E17,Estonia,Estonia,Full-Time,Estonian,"English, Estonian",Estonia,Female,No
62b2ac1fa69c70348bc69e9e,61013f9bee8a164bc16b75e1,APPROVED,2022-06-22 05:43:59.908000,2022-06-22 06:13:41.455000,1781.547,24,143,2,99,2022-06-23 00:35:54.253000,8F964E17,Netherlands,Netherlands,Part-Time,Dutch,"English, Dutch",Netherlands,Female,Yes
62b2ac264b96da1389e5f420,613a90797c260bf490fabae6,APPROVED,2022-06-22 05:44:06.517000,2022-06-22 06:11:03.437000,1616.92,22,96,0,100,2022-06-23 00:35:54.297000,8F964E17,Mexico,Mexico,Other,Spanish,"Spanish, English",Mexico,Male,Yes
62b2ac347935510ec371576c,6090b0a0a3289699f1b4917e,APPROVED,2022-06-22 05:44:20.069000,2022-06-22 06:11:56.237000,1656.168,25,69,1,100,2022-06-23 00:35:54.341000,8F964E17,Chile,Chile,Unemployed (and job seeking),Spanish,"English, Spanish",Chile,Male,Yes
62b2ac3882a246cd8be838dd,6142b61f68aa336c417a4619,APPROVED,2022-06-22 05:44:24.360000,2022-06-22 06:09:30.036000,1505.676,20,40,0,100,2022-06-23 00:35:54.386000,8F964E17,Mexico,Mexico,Unemployed (and job seeking),Spanish,"Spanish, English",Mexico,Male,Yes
62b2ac39afe45ccc6007968c,613a50aa648466f836cb696f,APPROVED,2022-06-22 05:44:29.098000,2022-06-22 07:11:02.893000,5193.795,20,77,1,100,2022-06-23 00:35:54.431000,8F964E17,Mexico,Mexico,Part-Time,Spanish,"English, Spanish, French",Mexico,Female,Yes
62b2ac3dc858fbea2e47f42c,612f3bc5917400184d983bcf,APPROVED,2022-06-22 05:44:40.990000,2022-06-22 06:15:02.512000,1821.522,27,52,1,100,2022-06-23 00:35:54.482000,8F964E17,South Africa,South Africa,Full-Time,DATA EXPIRED,English,South Africa,Female,No
62b2ac4846226eebaa398cdb,5f24dcf6dd9834112f4db16b,RETURNED,2022-06-22 05:44:40.452000,,591354.653788,39,192,3,98,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62b2ac54715538da429b3e73,5f15ed8fd44ced12e0336ff5,APPROVED,2022-06-22 05:44:55.510000,2022-06-22 06:10:48.372000,1552.862,24,69,0,100,2022-06-23 00:35:54.536000,8F964E17,Germany,Poland,Full-Time,Polish,"English, Polish",Poland,Female,No
62b2ac580ce94f9be17057b2,610ab7d02fdddca390f96368,APPROVED,2022-06-22 05:44:56.320000,2022-06-22 06:14:37.675000,1781.355,21,109,0,100,2022-06-23 00:35:54.581000,8F964E17,DATA EXPIRED,Mexico,DATA EXPIRED,DATA EXPIRED,"English, Spanish",DATA EXPIRED,Female,Yes
62b2ac5d474f82a96170e6ec,6128b55755dd29503d0d3e7a,RETURNED,2022-06-22 05:45:01.448000,,591333.692363,30,61,2,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62b2ac7f852545e3169afe08,5e4545c5a8f19a01c0fc53bd,APPROVED,2022-06-22 05:45:55.822000,2022-06-22 06:18:45.463000,1969.641,33,116,0,100,2022-06-23 00:35:54.629000,8F964E17,South Africa,South Africa,Full-Time,DATA EXPIRED,English,South Africa,Male,No
62b2ac8624ba3ecf4fee563b,609cc6e034aa04d914679899,TIMED-OUT,2022-06-22 05:45:56.781000,,591278.385688,33,65,3,97,,,South Africa,South Africa,Part-Time,English,"Afrikaans, English",South Africa,Female,No
62b2ac94a69c70348bc69ea7,6115a0203cacd5e288e888d7,APPROVED,2022-06-22 05:45:56.879000,2022-06-22 06:20:03.494000,2046.615,48,73,1,100,2022-06-23 00:35:54.676000,8F964E17,Chile,Chile,Other,Spanish,"English, French, Spanish",Chile,Female,No
62b2ac991bc9707e87f00ac2,5b0d0beed282ff00015b9972,APPROVED,2022-06-22 05:46:01.024000,2022-06-22 06:15:06.043000,1745.019,39,421,0,100,2022-06-23 00:35:54.719000,8F964E17,Canada,Canada,DATA EXPIRED,English,English,Canada,Male,No
62b2acae08a09df01d7fa964,60e504dc5f86f5b0e2eb6d17,APPROVED,2022-06-22 05:46:22.090000,2022-06-22 06:10:14.710000,1432.62,19,62,0,100,2022-06-23 00:35:54.762000,8F964E17,Portugal,Portugal,Other,Portuguese,"English, Portuguese",Portugal,Male,Yes
62b2acb68f5e2a310da2fd8f,616af9e01de198cde20b35e7,APPROVED,2022-06-22 05:46:30.158000,2022-06-22 06:15:03.959000,1713.801,35,86,1,100,2022-06-23 00:35:54.811000,8F964E17,Mexico,Mexico,Part-Time,Spanish,"Spanish, English",Mexico,Male,No
62b2acb96a6a27e7cc488d63,615b2600b3e34d22c1daebd3,APPROVED,2022-06-22 05:54:04.396000,2022-06-22 06:44:20.781000,3016.385,29,60,0,100,2022-06-23 00:35:54.855000,8F964E17,South Africa,South Africa,Full-Time,DATA EXPIRED,English,South Africa,Male,Yes
62b2acbccf00c0c5f626ba1e,611e5a53b063fa0cfe9e59b7,APPROVED,2022-06-22 05:47:11.064000,2022-06-22 07:16:56.227000,5385.163,18,29,2,97,2022-06-23 00:35:54.901000,8F964E17,South Africa,South Africa,Part-Time,DATA EXPIRED,"Afrikaans, English",South Africa,Female,Yes
62b2acc1c7eed9e597e63cd3,60f4f7fae7d0c8149c1d2b60,TIMED-OUT,2022-06-22 05:46:41.221000,,591234.028087,23,78,1,100,,,Mexico,Mexico,Full-Time,Spanish,"Spanish, English",Mexico,Male,Yes
62b2acec4b96da1389e5f426,613f442a2a07b0ffa0e17220,APPROVED,2022-06-22 05:47:27.923000,2022-06-22 06:25:20.993000,2273.07,24,30,1,100,2022-06-23 00:35:54.953000,8F964E17,South Africa,South Africa,Unemployed (and job seeking),DATA EXPIRED,English,South Africa,Female,No
62b2ad6c1e2691638a7866f0,5f843d6c842a0b04ab2faedb,APPROVED,2022-06-22 05:49:45.564000,2022-06-22 06:27:37.300000,2271.736,30,158,0,100,2022-06-23 00:35:54.997000,8F964E17,Czech Republic,Czech Republic,Full-Time,Czech,"Czech, English, Korean, Norwegian",Czech Republic,Female,No
62b2d07c2dd9b8bf403a707a,5fa23c9b64b18a4067cc842e,APPROVED,2022-06-22 08:19:26.001000,2022-06-22 08:48:55.540000,1769.539,35,405,0,100,2022-06-23 00:35:55.045000,8F964E17,Vietnam,Finland,Full-Time,Vietnamese,"English, Finnish, Vietnamese",Vietnam,Male,No
62b2d07f9a1407631b2ae152,58c26f473977190001f54116,APPROVED,2022-06-22 08:19:29.793000,2022-06-22 08:40:33.166000,1263.373,41,246,4,99,2022-06-23 00:35:55.091000,8F964E17,United Kingdom,United Kingdom,Part-Time,English,English,United Kingdom,Female,No
